This supplement lists certain entities or addresses subject to license requirements and other Entity List restrictions for specified items under this part 744 and part 746 of the EAR. License requirements for these entities include exports, reexports, and transfers (in-country) unless otherwise stated. A license is required, to the extent specified on the Entity List, to export, reexport, or transfer (in-country) any item subject to the EAR when an entity or a party to the transaction is operating at an address that is listed on the Entity List under an address entry is a party to the transaction as described in § 748.5(c) through (f) of the EAR. The Entity List license requirements and other Entity List restrictions also apply to any foreign entity that is owned, directly or indirectly, individually or in aggregate, 50 percent or more by one or more listed entities or entities that are subject to restrictions based upon their ownership. An entity owned 50 percent or more, directly or indirectly, by multiple entities subject to EAR license requirements pursuant to some combination of the Entity List, MEU List, or SDN List designated under programs listed in § 744.8(a)(1), is subject to the most restrictive license requirements, license exception eligibility, and license review policy applicable to one or more of its owners under the EAR. If an exporter, reexporter, or transferor cannot determine the ownership percentage of a foreign entity that is an entity owned, directly or indirectly, by one or more listed entities, they must resolve the Red Flag or obtain a license from BIS prior to proceeding with the export, reexport, or transfer (in-country), unless a license exception is available (see Red Flag 29 in supplement no. 3 to part 732). This list is revised and updated on a periodic basis in this supplement by adding new or amended notifications and deleting notifications no longer in effect.
Country | Entity | License requirement | License reviewpolicy | Federal Register citation
AFGHANISTAN | Abdul Satar Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Afghan-German Construction Company, Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Ehang International Trade Limited, Flat/Room 32, 11/F Lee Ka Industrial Building 8NK Fong Street San Po Kong, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 38925, 6/30/22.
Enhance International Trade Limited, Room 803 8/F Easey Commercial Building 253-261, Hennessy Road, Wanchai, Hong Kong. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
ETC Electronics Ltd., Room 315, Fiyta Building, Zhenhua, Road No. 163, Shenzhen, China; and WHSE B DD118 Tai Shu Ha West Road New Territories, Yuen Long, Hong Kong; and Unit 2, D6, 2/F Mai Wah Industrial Building No. 1/7 Wah sing Street, Kwai Chung, New Territories, Hong Kong; and Unit 2 13/F Leader Industrial Center 57-59, Au Pui Wan Street Shatin, Hong Kong. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 23334, 4/17/23.
Exeya Co., Limited, 18 Luard Road, Room D, 16/F, One Capital Place, Wan Chai, Hong Kong; and 2-12 Au Pui Wan Street, Workshop F8, 4F, Valiant Industrial Center, Fo Tan, New Territories, Hong Kong. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.2l(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 89 FR 14388, 2/27/24.
Exodus Microelectronics Company Limited, Unit 9B, Nathan Commercial Building 430-436 Nathan Road, Kowloon, Hong Kong; and Unit 6B, Block 1, International Centre 2-8 Kwei Tei Street, Shatin, New Territories, Hong Kong; and Unit 6B, Block 1, International Industrial Centre, 2-8 Kwei Tei Street, Shatin, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 75 FR 1701, 1/13/10.85 FR 83769, 12/23/20.
Fang Yu, 16 Gaoxin 4th Road, Xian High Tech Industrial Development Zone, Xian, China | For all items subject to the EAR. (See 744.11 of the EAR) | Presumption of denial | 75 FR 36519, 6/28/10.
Farteco Limited, a.k.a., the following one alias: —Farteco Ltd. 501-503 Castle Peak Road, Unit B090, International Industrial Building, Kowloon, Hong Kong; and Unit D, 16/F One Capital Place, 18 Luard Rd, Wan Chai, Hong Kong; and Unit B909, 9th Floor, International Industrial Building, 501-503 Castle Peak Rd., Kowloon, Hong Kong. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
Feng Bao Electronic Information Technology (Shanghai) Co., Ltd., a.k.a., the following one alias: —LINPO. Room A-522, No. 188 Yesheng Road, Lingang New Area, Shanghai, China; and Building 20, No. 487, Tianlin Road, Shanghai, China; and Kingkey Riverside Times Building, No. 9289, Binhe Avenue, Shenzhen, China; and Building 1, No. 4, Beitucheng East Road, Beijing, China; and Room 909, Jinlun International, No. 8 Hanzhong Road, Nanjing, China; and E502-2, International Science and Technology Park, Jinji Lake Avenue, Suzhou, China; and Building 5, Shanda International, No. 46, Shuxi Road, Chengdu, China; and Building 4, Yuquanshan, Huangjin Road, Dongguan, China; and Building A, Jiangnan Avenue, Hangzhou, China; and Building 2, Yabulun Industrial Park, Yazhou Bay Science and Technology City, Sanya, China; and Building B1, No. 4670-162, Xianyue Road, Xiamen, China; and Building 1, No. 51, Furong East Road, Xi'an, China; and Building B2, Poly Metropolis, No. 290, Hanxi Avenue East, Guangzhou, China; and Building 2, Optics Valley World City, Wuhan, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 48195, 10/9/25.
Feng Bao Trading Hong Kong Ltd., a.k.a., the following four aliases: —Linpo Nanotech Limited; —Linpo Sigma HK Limited; —Linpo Korea (HK) Limited; and —Global Corporation (HK) Limited. 9th Floor, Fook Hong Industrial Building, 19 Sheung Yuet Road, Kowloon Bay, Hong Kong; and 1st Floor, Goldlion Holding, No. 13-15, Yuen Shun Circuit, Satin, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 48195, 10/9/25.
FiberHome Technologies Group, a.k.a., the following eight aliases:—FiberHome;—FiberHome International Technology Co., Ltd.;—FiberHome Networks;—FiberHome Networks Co. Ltd.;—FiberHome Telecommunication Technologies Co., Ltd.;—Haohuo Xiangyun Network Technology Co., Ltd;—Wuhan Fiberhome International; and—Wuhan Institute of Posts and Telecommunications. No. 6, Gaoxinsilu, East Lake High-Tech Development Zone, Wuhan, Hubei Province, 430205, China; and 88 Youkeyuan Road, Hongshan District, Wuhan China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 85 FR 34505, 6/5/20.85 FR 44161, 7/22/20.
Foang Tech Inc., a.k.a., the following one alias:—Ofogh Electronics Co. 52F, Shun Hing Square, Unit 1-8 Di Wang Commercial Center, Shenzhen, China; and Flat/RM 1701-Ricky CTR, 36 Chowg Yip Street, Kwun Tong, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 81 FR 40178, 6/21/16.85 FR 83769, 12/23/20.
FOC (HK) Technology Co., Ltd., Room 8, 6/F, Shun On Commercial Building, 112-114 Des Voeux Road, Central, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 78 FR 75463, 12/12/13.85 FR 83769, 12/23/20.
Forensic Genomics International, a.k.a., the following five aliases: —BGI Forensic Technology (Shenzhen) Co., Ltd; —BGI Judicial; —FGI; —Huada Judicial; and —Shenzhen Huada Forensic Technology Co., Ltd. Building 11, Beishan Industrial Zone, Yantian District, Shenzhen City, Guangdong, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 88 FR 13675, 3/6/23.
Fortune Source Electronics Co. Ltd., Unit A, 7/F Capri Building, 130 Austin Road, KLN, Hong Kong; and Unit A7/F Capri Building, 130 Austin Road, KLN, Hong Kong; and Unit 803, Fourseas Building, 208-212 Nathan Road, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 56003, 9/18/14.85 FR 83769, 12/23/20.
Frontier Services Group Limited, Suite 3902, 39/F, Far East Finance Center, 16 Harcourt Road, Admiralty, Hong Kong; and 2201, Wing 1 Kunsha Center, 16 Xinyuanli, Chaoyang District, Beijing, China. (See alternate addresses under Kenya, Laos, and United Arab Emirates.) | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
Fujian Jinhua Integrated Circuit Company, Ltd., a.k.a., the following one alias: —JHICC. Sanchuang Park, Century Avenue Jinjiang City, Fujian Province, China; and No. 88, Lianhua Avenue, Jinjiang Integrated Circuit Science Park, Quanzhou City, Fujian Province, China. | For all items subject to the EAR (See §§ 734.4(a)(9), 734.9(e)(3), and 744.11 of the EAR) 5 | Presumption of denial | 83 FR 54521, 10/30/18. 89 FR 96836, 12/5/24.
Fujian Sophon Technology Co., Ltd., a.k.a., and the following one alias: —Fujian Suanfeng Technology Co., Ltd. Room 916, Yangguang Building North, Fuzhou University Science and Technology Park, No. 2, Xueyuan Road, Shangjie Town, Minhou County, Fuzhou, Fujian Province, China. | For all items subject to the EAR (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 90 FR 4622, 1/16/25.
Fujian Suanxin Technology Co., Ltd., 02 1st Floor, #2-1 Building, Qiaoxingjun Area 2, North Baima Road, Nanjie Neighborhood, Gulou District, Fuzhou, Fujian Province, China. | For all items subject to the EAR (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 90 FR 4622, 1/16/25.
Fujian Torch Electron Technology Co., Ltd., No.4 Zihua Rd., Quanzhou Hi-Tech Industries Park (Jiang Nan Park) Licheng District, Quanzhou, Fujian; and Building 23, District 7, No. 188 South 4th Ring Rd W, Fengtai District, Beijing; and Suites 705-708, 7th floor, Ping'An Wealth Management Center, Building 1, 1588 Shenchang Road, Minhang District, Shanghai; and Suites 2904-2905, Yongwei Times Center, Jinye 1st Rd, Yanta District, Xi'an; and Suites 402-1, Building 1, Xicun Compound, No 1. Beisen N Rd, Qingyang District, Chengdu; and Suite 1507, Tower A, Wuhan Guanggu Times Square, No. 111 Guanshan Avenue Hongshan District, Wuhan; and Suite 905, Kairu Junlin Business Building, Intersection of Kaixuan W Rd and Shachang S Rd, Xigong District, Luoyang; and Suite 2306, Tower A, Yinuo Business Center, Intersection of West 2nd Ring Rd and Hehuan Road, Shushan District, Hefei; and Suite 404, Building W2, West District, Airport Business Park, Tianjin Airport Economic Zone; and Suites 1102-1103, Tower B2, No. 13 Ludu Avenue, Greenland Window Business Plaza, Yuhuatai District, Nanjing; and Suite 10009, Times Building, No. 55 Qingjiang Rd, Weibin District, Baoji, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 71559, 12/17/21.
Furuida Heilongjiang Supply Chain Management Co., Ltd., Room 803-773, Floor 8, Building 10, Harbin Songbei Technology Chuangxin Industrial Zone, 3043 Zhigu 2nd Street, Songbei District, Harbin, Heilongjiang, 150000, China. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 89 FR 68548, 8/27/24. 90 FR 44499, 9/16/25.
Fushun Jinly Petrochemical Carbon Co., Ltd., Room 2104, Jinhui Plaza, No. 16 Dongsi Road, Xinfu District, Fushun, Liaoning, China; and 113015 East of No. 2 Petroleum Factory, Dongzhou District, Fushun, Liaoning, China, 113004. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 24565, 5/1/14.
Fuyuan Huang, No. 2A Zhonghuan South Road, Wangjing, Chaoyang District, Beijing, China, 100102; and Room 302 Office, Bldg 11, No. 4, Anningzhuang Rd, Beijing, China, 100085. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 80 FR 44849, 7/28/15.
FY International Trading Company, a.k.a., the following one alias: —FYIT. Cac Kitt Building, Room 21B7, Shenzhen Guangdong China; and No. 48 Street, Office No. 6, 12th Floor, Wealth Commercial Centre, Kowloon, Hong Kong; and 707 to 713 Nathan Road, Flat Room B, 26th Floor, Silvercorp International Tower, Mong Kok, Kowloon, Hong Kong; and 426 Shanghai Street, Flat 2002C, 20F, Multifield Commercial Centre, Mongkok, Kowloon, Hong Kong; and No. 16 Shing Yip Street, Workshop 603F, Block A, East Sun Industrial Centre, Kowloon, Hong Kong; and Flat F 10 Floor Hung Cheong Industrial Centre Phase I 12Tsing Yeung, Tuen Mun, N.T. Hong Kong. | For all items subject to the EAR. (See §§ 744.8(b), 744.11, 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 89 FR 51652, 6/18/24.
Gala Wang, Room 2506, Hengchang Building, No. 288, Hing Si Road, Jinan City, Shandong, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 81 FR 14958, 3/21/16.
Galaxy Electronics, Unit 3-4 on 5/F, 26-28 Au Pui Wan Street, Futian Industrial Centre, Fo Tan Shatin, Hong Kong; and Block A2 G/F Hoi Bun Industrial 6 Wing Yip Street, Kwun Tong, 07000, Hong Kong; and Flat13 8/F Yale Industrial Center 61-63 Au Pui Wan Street Fotan, Hong Kong; and Hong Cao Road Rm 314 Block 4 #30, Shanghai, 200233, China; and Workshop S&T on 5/F Blk 1 Kin Ho Industrial Building Shatin NT, Hong Kong; and Kin Ho Industrial Building Nos 14-24 Shatin, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 13675, 3/6/23.
Gansu Shuili Hoisting Equipment Co., Ltd., Unit 2, No. 28, Xiaoxihu West Street, Lanzhou, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 48195, 10/9/25.
Gaobeidian Kaituo Precise Instrument Co., Ltd., a.k.a., the following three aliases: —Baoding Kaituo Precision Instrument Manufacturing Co., Ltd.; —Kaituo Precise; and —Kaituo Precise Instrument. Industrial CT Machine Industrial Zone, Youyi East Road, Baigou Town, Gaobeidian City, Hebei, China; and West of Xingsheng Avenue, Baigou Town, Baoding, Hebei, 074004 China. | For all items subject to the EAR. (See § 744.11 of the EAR) | See § 744.3(d) of the EAR | 88 FR 13675, 3/6/23.
Gaohui HK Electronics, Room 1608, B Building, Jiahe Tower, No. 3006 Shennan Middle Road, Shenzhen, China 518031; and Rm. 311, 3/F, Genplas Industrial Building, 56 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong; and Flat/Room 33 8/F, Sino Industrial Place 9 Kai Cheung Road, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 38925, 6/30/22.
General Technology Limited, Level 13, 68 Yee Wo Street, Causeway Bay, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | See §§ 744.2(d) and 744.3(d) of this part | 88 FR 38741, 6/14/23.
GEOVIS Technology Co., Ltd., a.k.a., the following two aliases: —Zhongke Xingtu Co., Ltd.; and —Zhongke Star Chart Co., Ltd. 1A-4 Xingtu Building, National Geographic Information Technology Industrial Park, No. 2 Airport East Road, Airport Economic Core Area, Shunyi District, Beijing, China.; and No. 2, Jichang E. Road, Linkong Jingji Hexin District, Shunyi District Beijing, Beijing, 101399, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
Giant Base Asia Limited, Room 2205, 22/F, Kowloon Building, 555 Nathan Road, Hong Kong; and Flat E, Block 1, 12/F, Superluck Industrial Centre, Tsuen Wan, New Territories, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 78 FR 18808, 03/28/13.80 FR 69856, 11/12/15.85 FR 83769, 12/23/20.
Giovan Ltd., Suite 1505-6, Albion Plaza, 2-6 Granville Road, TsimShatSui, Kowloon, Hong Kong (See alternate address under India). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 81 FR 61601, 9/7/16.85 FR 83769, 12/23/20.
Glite Electronic Technology Co., Limited, Xiangmihu Road, Building 1, Room 1002, Shenzhen, Guangdong, China; and Fuhong Road, World Trade Plaza, Building A, Room 1106, Funan Community, Futian District, Shenzhen, Guangdong, China. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
Global Broker Solutions Limited, 11 Shing Yip Street, Wah Shing Center, 9th Floor, Unit 9, Kwun Tong, 518002, Hong Kong; and 54-56 Jervois Street, Lower Ground Floor, Room B, Sheung Wan, Hong Kong. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
Global Training Solutions Limited, 8 Ng Fong Street, 11/F Lee Ka Industrial Building, Room 32, San Po Kong, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 55035, 7/3/24.
GMC Semiconductor Technology (Wuxi) Co., Ltd., a.k.a., the following five aliases: —GMCs; —GMC Semiconductor; —GMC Semitech; —GMC Semitech Co., Ltd.; and —Jimuxi Semiconductor Technology Co., Ltd. No. 1 Jingxiang Road, Xibei Town, Xishan District, Wuxi, Jiangsu, China; and No. 326 Room 22708, Unit 2, Building 1 (B), Yangyang International, No. 132, Zhuque Street, Yanta District, Xi'an City, Shaanxi Province, China; and Building 10, No. 860, Xinyang Road, Lingang New Area, China (Shanghai) Pilot Free Trade Zone, China; and Room 1299, 1st Floor, No. 9 Cainan Road, Caiyu Town, Daxing District, Beijing, China; and Room 311, Office A, 3rd Floor, Reader New Media Building, No. 105, Wensan Road, National Animation Park, Sino-Singapore Eco-city, Binhai New Area, Tianjin, China; and No. 20, Dinglan Road, Funing High-tech Industrial Development Zong Yancheng, Jiangsu Province, China; and Room 509-1, Block A, Floor 1-5, Building 1, Smart Grid Industrial Park, No. 22 Gaoxin 4th Road, Donghu New Technology Development Zone, Wuhan City, Hubei Province, China; and No. 4-12, Jindong Commercial Street, Xibei District, Wuxi, Jiangsu Province, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 44499, 9/16/25.
Goodview Global, a.k.a., the following two aliases: —Goodview Global Ltd.; and —Shenzhen Goodview Global Industry Co Ltd. Room 301 Renmin Road, Richuyinxiang Garden A Block, Bao an District, Shenzhen, China; and Rm. 1611 Building A3 Changsha Taskin City Plaza, Yuhua District, Changsha, China; and RM9018 B block Xinrong Bld., Mingbao Rd., Longhua District, Shenzhen, Guangdong, China; and Rm2003 #A3 Buliding, Desiqin City Square, Yuehua District, Changsha, China; and Forte Land Square Yuhua District Rm19073 #a6 Buliding, Changsha, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 48195, 10/9/25.
Grants Promotion Service Limited, a.k.a., the following three aliases: —Catalano Limited; —Zhenao Co. Ltd.; and —GPSL. 430-436 Nathan Road, Nathan Commercial Building, 8th Floor, Room A, Yau Ma Tei, Hong Kong. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
